
POINT (-58.4307505291444 -34.5991248058184);CASTILLO 77;VILLA CRESPO;15;Papel / Cartón;Los materiales deben estar limpios y secos
POINT (-58.4329924964648 -34.5967391402118);CASTILLO 359;VILLA CRESPO;15;Papel / Cartón;Los materiales deben estar limpios y secos
POINT (-58.4337021762507 -34.5959789335425);CASTILLO 441;VILLA CRESPO;15;Papel / Cartón;Los materiales deben estar limpios y secos
POINT (-58.4405192329522 -34.5888777676784);CASTILLO 1302;CHACARITA;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4427816117563 -34.5873114041397);CASTILLO 1538;CHACARITA;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4446852240443 -34.5859777559721);CASTILLO 1748;CHACARITA;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4203838859871 -34.6252247608196);CASTRO 1038;BOEDO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4198407963539 -34.6276541168858);CASTRO 1212;BOEDO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4191009755841 -34.6310015644028);CASTRO 1538;BOEDO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4192703334261 -34.6352150802561);CASTRO 1860;BOEDO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4189408944455 -34.6377193161489);CASTRO 2136;BOEDO;5;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4754546490274 -34.6935715891306);CORRALES 6995;VILLA RIACHUELO;8;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.5073648088052 -34.6232890201026);CERVANTES 1736;MONTE CASTRO;10;Papel / Cartón;Los materiales deben estar limpios y secos
POINT (-58.4501427120318 -34.5857524114913);FRAGA 411;CHACARITA;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.4529702586054 -34.5845047056403);FRAGA 671;CHACARITA;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
POINT (-58.456899331203 -34.5836803338029);FRAGA 982;CHACARITA;15;Papel / Cartón / Plástico / Metal / Vidrio;Los materiales deben estar limpios y secos
